hidden_dim1,num_trials,mean_best_val_accuracy,std_best_val_accuracy,max_best_val_accuracy,min_best_val_accuracy
512,18,0.5393141289437587,0.10347788973795939,0.66,0.32765432098765435
256,18,0.5249245541838135,0.10666306172533972,0.64,0.30765432098765433
128,18,0.5093004115226337,0.10495105223550953,0.6172839506172839,0.29975308641975307
