learning_rate,num_trials,mean_best_val_accuracy,std_best_val_accuracy,max_best_val_accuracy,min_best_val_accuracy
0.03,18,0.5748971193415637,0.07245313816830669,0.66,0.454320987654321
0.01,18,0.5264060356652949,0.09981976584874837,0.6254320987654322,0.36864197530864196
0.003,18,0.47223593964334715,0.11428733271758686,0.5740740740740741,0.29975308641975307
