activation,num_trials,mean_best_val_accuracy,std_best_val_accuracy,max_best_val_accuracy,min_best_val_accuracy
relu,18,0.6018930041152263,0.03478211113185048,0.66,0.5412345679012346
tanh,18,0.5801508916323732,0.029042903545104793,0.6229629629629629,0.5323456790123456
sigmoid,18,0.3914951989026063,0.06870087683247325,0.49234567901234566,0.29975308641975307
